timestamp,ticker,open,high,low,close,volume
2026-02-09,AAPL,277.9100036621094,278.20001220703125,271.70001220703125,274.6199951171875,44623400
2026-02-10,AAPL,274.8900146484375,275.3699951171875,272.94000244140625,273.67999267578125,34376900
2026-02-11,AAPL,274.70001220703125,280.17999267578125,274.45001220703125,275.5,51931300
2026-02-12,AAPL,275.5899963378906,275.7200012207031,260.17999267578125,261.7300109863281,81077200
2026-02-13,AAPL,262.010009765625,262.2300109863281,255.4499969482422,255.77999877929688,56290700
2026-02-17,AAPL,258.04998779296875,266.2900085449219,255.5399932861328,263.8800048828125,58469100
2026-02-18,AAPL,263.6000061035156,266.82000732421875,262.45001220703125,264.3500061035156,34203300
2026-02-19,AAPL,262.6000061035156,264.4800109863281,260.04998779296875,260.5799865722656,30845300
2026-02-20,AAPL,258.9700012207031,264.75,258.1600036621094,264.5799865722656,42070500
2026-02-23,AAPL,263.489990234375,269.42999267578125,263.3800048828125,266.17999267578125,37308200
2026-02-24,AAPL,267.8599853515625,274.8900146484375,267.7099914550781,272.1400146484375,47014600
2026-02-25,AAPL,271.7799987792969,274.94000244140625,271.04998779296875,274.2300109863281,33714300
2026-02-26,AAPL,274.95001220703125,276.1099853515625,270.79998779296875,272.95001220703125,32345100
2026-02-27,AAPL,272.80999755859375,272.80999755859375,262.8900146484375,264.17999267578125,72366500
2026-03-02,AAPL,262.4100036621094,266.5299987792969,260.20001220703125,264.7200012207031,41827900
2026-03-03,AAPL,263.4800109863281,265.55999755859375,260.1300048828125,263.75,38568900
2026-03-04,AAPL,264.6499938964844,266.1499938964844,261.4200134277344,262.5199890136719,39803100
2026-03-05,AAPL,260.7900085449219,261.55999755859375,257.25,260.2900085449219,49658600
2026-03-06,AAPL,258.6300048828125,258.7699890136719,254.3699951171875,257.4599914550781,41120000
2026-03-09,AAPL,255.69000244140625,261.1499938964844,253.67999267578125,259.8800048828125,38218500
2026-03-10,AAPL,257.6499938964844,262.4800109863281,256.95001220703125,260.8299865722656,30590800
2026-03-11,AAPL,261.0899963378906,262.1300048828125,259.54998779296875,260.80999755859375,26218900
2026-03-12,AAPL,258.6600036621094,258.95001220703125,254.17999267578125,255.75999450683594,40794000
2026-03-13,AAPL,255.47999572753906,256.3299865722656,249.52000427246094,250.1199951171875,36930000
2026-03-16,AAPL,252.11000061035156,253.88999938964844,249.8800048828125,252.82000732421875,32074200
2026-03-17,AAPL,252.9600067138672,255.1300048828125,252.17999267578125,254.22999572753906,32361600
2026-03-18,AAPL,252.6300048828125,254.94000244140625,249.0,249.94000244140625,35757900
2026-03-19,AAPL,249.39999389648438,251.8300018310547,247.3000030517578,248.9600067138672,34864100
2026-03-20,AAPL,247.97999572753906,249.1999969482422,246.0,247.99000549316406,88331100
2026-03-23,AAPL,253.97000122070312,254.60000610351562,250.27999877929688,251.49000549316406,40546100
2026-03-24,AAPL,250.35000610351562,254.8300018310547,249.5500030517578,251.63999938964844,45152300
2026-03-25,AAPL,254.10000610351562,255.0,251.60000610351562,252.6199951171875,28476700
2026-03-26,AAPL,252.1199951171875,257.0,250.77000427246094,252.88999938964844,41796700
2026-03-27,AAPL,253.89999389648438,255.49000549316406,248.07000732421875,248.8000030517578,47900000
